customer_id,age,month_income,debt,finance_buy,loan_count,is_overdue
1,50,14721,452,6,13,1
2,36,5587,8533,9,11,1
3,29,13574,392,3,7,0
4,42,9669,5471,1,1,0
5,40,21989,17653,0,10,0
6,44,8004,8137,4,7,0
7,32,30663,13997,10,5,0
8,32,17301,19434,9,12,0
9,45,31103,23664,7,2,0
10,57,30133,9162,7,11,0
11,45,11400,10397,11,10,0
12,24,34901,15596,9,13,0
13,43,10504,4794,1,12,0
14,23,6810,23794,5,12,1
15,45,9080,16549,6,13,0
16,51,10408,8446,9,6,0
17,59,7153,8493,0,11,1
18,23,29583,6363,4,5,0
19,42,14055,11295,5,2,0
20,54,22760,8079,6,13,1
21,33,20752,21414,10,4,0
22,43,27193,12032,8,3,0
23,46,6800,10748,2,13,1
24,48,4037,1505,7,12,0
25,49,33054,9448,9,5,0
26,37,32048,13240,2,0,0
27,36,29866,7409,10,0,0
28,24,3992,20724,8,7,1
29,58,26696,209,7,12,0
30,28,30514,20177,8,7,0
31,42,7510,20905,4,11,0
32,30,3393,19431,10,8,0
33,39,11005,17364,8,12,0
34,25,23070,2119,2,7,0
35,46,32400,20129,6,13,0
36,35,19741,177,2,1,0
37,30,23388,1546,5,13,0
38,47,33271,14186,7,10,0
39,23,20565,10226,1,4,0
40,41,9817,24874,7,7,0
41,49,5065,19950,0,14,1
42,28,26255,12231,3,8,0
43,29,15094,16658,6,12,1
44,56,34280,14016,0,5,0
45,35,16879,14134,5,14,0
46,38,14610,19379,9,3,0
47,57,22513,14082,5,8,0
48,25,3154,16436,6,11,1
49,23,33262,7775,8,3,0
50,27,31134,16175,6,5,0
51,25,12746,14133,2,11,1
52,50,11678,9615,3,14,0
53,39,9294,16368,0,14,1
54,47,12574,18011,4,4,0
55,55,5415,22427,6,0,1
56,31,18979,24207,2,3,0
57,57,4070,14837,5,9,1
58,35,21638,10546,11,2,0
59,52,27426,24992,2,7,0
60,36,17785,10748,3,6,0
61,29,29082,1553,4,12,0
62,35,19306,2469,5,9,0
63,44,13067,16299,5,14,1
64,42,32595,1474,0,0,0
65,37,10807,15786,11,10,0
66,39,26224,22861,7,7,1
67,45,26097,13759,2,6,0
68,47,21574,337,3,14,0
69,46,26648,6991,7,11,0
70,50,28646,11351,4,1,1
71,36,27766,24844,5,9,0
72,22,27715,1087,0,11,0
73,46,32286,1293,7,13,0
74,28,10398,8848,4,13,1
75,30,15202,5964,0,3,0
76,45,30987,2828,6,14,1
77,22,5972,6472,1,1,0
78,29,20898,20357,11,8,0
79,45,14312,23045,5,12,1
80,32,23354,21341,2,7,0
81,38,24103,6564,5,0,0
82,29,31100,1336,8,0,0
83,56,16627,10548,5,7,1
84,56,4345,15149,0,4,1
85,54,31758,15181,5,0,0
86,26,21301,1667,2,10,0
87,49,10641,18209,3,3,0
88,28,31953,1212,3,1,0
89,30,31486,2768,8,12,1
90,29,18099,12607,7,8,0
91,33,16385,22160,6,9,0
92,55,11644,16828,4,5,0
93,54,31718,9589,9,10,0
94,44,4611,20765,10,8,1
95,45,30743,3676,3,0,0
96,58,34657,18694,2,0,0
97,56,21462,20424,11,10,0
98,43,13773,7085,0,3,0
99,48,21448,18211,8,1,0
100,56,26763,22669,7,14,1
101,22,8779,19603,0,14,1
102,56,12450,21943,1,0,0
103,58,32063,23155,0,5,0
104,35,10150,4688,0,7,0
105,24,19737,4511,8,0,0
106,22,15592,18456,4,10,1
107,26,25102,23154,2,10,0
108,47,16861,14640,1,9,1
109,35,23020,22712,11,9,0
110,48,12755,18714,7,5,0
111,30,33284,13466,7,0,0
112,36,25428,685,5,14,1
113,36,34228,21342,1,13,0
114,47,3711,684,10,7,1
115,34,16706,15001,0,5,0
116,53,31078,8532,5,13,0
117,53,13924,12891,0,0,0
118,25,16073,733,11,8,1
